【  体育频道  】,#genre#
【  央视频道  】,#genre#
【  广东频道  】,#genre#
【  江苏频道  】,#genre#
华北_BRTV冬奥纪实_联通,http://114.254.191.100:9999/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.219.197:8000/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.38.149:4021/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.83.72:2222/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.89.130:8020/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.89.70:2222/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://114.254.94.181:2222/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://123.115.195.226:8888/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://123.118.51.157:8888/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://123.118.59.198:8888/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://123.122.161.121:19999/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://123.123.184.43:1314/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://124.65.3.44:20000/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://221.218.14.126:8000/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://221.218.211.229:58888/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://221.220.134.175:8012/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://222.129.36.84:8888/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实_联通,http://222.129.37.111:9001/# rtp/239.3.1.243:8000
华北_BRTV冬奥纪实超清_联通,http://111.192.176.15:8012/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://111.193.228.120:8800/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://111.196.130.206:20000/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://111.196.150.10:20002/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.246.174.75:4022/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.246.252.64:5400/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.249.19.38:4022/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.249.29.121:8012/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.250.19.220:33333/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.252.234.124:8888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.253.74.208:8686/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.191.100:9999/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.219.197:8000/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.38.149:4021/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.83.72:2222/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.89.130:8020/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.89.70:2222/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://114.254.94.181:2222/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://123.115.195.226:8888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://123.118.51.157:8888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://123.118.59.198:8888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://123.122.161.121:19999/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://123.123.184.43:1314/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://124.65.3.44:20000/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://221.218.14.126:8000/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://221.218.211.229:58888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://221.220.134.175:8012/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://222.129.36.84:8888/# rtp/239.3.1.121:8000
华北_BRTV冬奥纪实超清_联通,http://222.129.37.111:9001/# rtp/239.3.1.121:8000
华北_BRTV文艺_联通,http://111.192.176.15:8012/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://111.193.228.120:8800/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://111.196.130.206:20000/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://111.196.150.10:20002/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.246.174.75:4022/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.246.252.64:5400/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.249.19.38:4022/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.249.29.121:8012/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.250.19.220:33333/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.252.234.124:8888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.253.74.208:8686/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.191.100:9999/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.219.197:8000/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.38.149:4021/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.83.72:2222/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.89.130:8020/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.89.70:2222/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://114.254.94.181:2222/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://123.115.195.226:8888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://123.118.51.157:8888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://123.118.59.198:8888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://123.122.161.121:19999/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://123.123.184.43:1314/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://124.65.3.44:20000/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://221.218.14.126:8000/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://221.218.211.229:58888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://221.220.134.175:8012/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://222.129.36.84:8888/rtp/239.3.1.242:8000
华北_BRTV文艺_联通,http://222.129.37.111:9001/rtp/239.3.1.242:8000
华北_BRTV新闻_联通,http://111.192.176.15:8012/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://111.193.228.120:8800/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://111.196.130.206:20000/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://111.196.150.10:20002/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.246.174.75:4022/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.246.252.64:5400/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.249.19.38:4022/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.249.29.121:8012/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.250.19.220:33333/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.252.234.124:8888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.253.74.208:8686/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.191.100:9999/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.219.197:8000/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.38.149:4021/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.83.72:2222/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.89.130:8020/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.89.70:2222/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://114.254.94.181:2222/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://123.115.195.226:8888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://123.118.51.157:8888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://123.118.59.198:8888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://123.122.161.121:19999/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://123.123.184.43:1314/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://124.65.3.44:20000/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://221.218.14.126:8000/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://221.218.211.229:58888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://221.220.134.175:8012/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://222.129.36.84:8888/rtp/239.3.1.159:8000
华北_BRTV新闻_联通,http://222.129.37.111:9001/rtp/239.3.1.159:8000
华北_BRTV生活_联通,http://111.192.176.15:8012/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://111.193.228.120:8800/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://111.196.130.206:20000/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://111.196.150.10:20002/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.246.174.75:4022/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.246.252.64:5400/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.249.19.38:4022/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.249.29.121:8012/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.250.19.220:33333/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.252.234.124:8888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.253.74.208:8686/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.191.100:9999/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.219.197:8000/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.38.149:4021/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.83.72:2222/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.89.130:8020/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.89.70:2222/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://114.254.94.181:2222/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://123.115.195.226:8888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://123.118.51.157:8888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://123.118.59.198:8888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://123.122.161.121:19999/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://123.123.184.43:1314/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://124.65.3.44:20000/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://221.218.14.126:8000/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://221.218.211.229:58888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://221.220.134.175:8012/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://222.129.36.84:8888/rtp/239.3.1.117:8000
华北_BRTV生活_联通,http://222.129.37.111:9001/rtp/239.3.1.117:8000
华北_BRTV纪实科教_联通,http://111.192.176.15:8012/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://111.193.228.120:8800/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://111.196.130.206:20000/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://111.196.150.10:20002/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.246.174.75:4022/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.246.252.64:5400/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.249.19.38:4022/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.249.29.121:8012/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.250.19.220:33333/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.252.234.124:8888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.253.74.208:8686/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.191.100:9999/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.219.197:8000/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.38.149:4021/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.83.72:2222/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.89.130:8020/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.89.70:2222/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://114.254.94.181:2222/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://123.115.195.226:8888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://123.118.51.157:8888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://123.118.59.198:8888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://123.122.161.121:19999/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://123.123.184.43:1314/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://124.65.3.44:20000/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://221.218.14.126:8000/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://221.218.211.229:58888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://221.220.134.175:8012/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://222.129.36.84:8888/rtp/239.3.1.115:8000
华北_BRTV纪实科教_联通,http://222.129.37.111:9001/rtp/239.3.1.115:8000
华北_BRTV财经_联通,http://111.192.176.15:8012/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://111.193.228.120:8800/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://111.196.130.206:20000/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://111.196.150.10:20002/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.246.174.75:4022/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.246.252.64:5400/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.249.19.38:4022/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.249.29.121:8012/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.250.19.220:33333/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.252.234.124:8888/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.253.74.208:8686/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.191.100:9999/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.219.197:8000/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.38.149:4021/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.83.72:2222/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.89.130:8020/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.89.70:2222/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://114.254.94.181:2222/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://123.115.195.226:8888/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://123.118.51.157:8888/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://123.118.59.198:8888/rtp/239.3.1.116:8000
华北_BRTV财经_联通,http://123.122.161.121:19999/rtp/239.3.1.116:8000
